287.222	289.762	1022	72	2	6.13	0
290.566	293.746	1022	59	1	5.59	0
290.566	293.746	1022	42	2	4.77	0
294.15	295.7	1020	37	1	4.61	0
293.15	295.32	1019	45	2	5.24	0
292.15	295.32	1019	59	1	5.33	0
290.408	292.408	1021	68	2	4.82	0
289.778	291.278	1022	67	1	4.77	0
289.15	291.278	1022	72	1	4.77	0
288.886	290.456	1022	67	1	4.69	0
288.15	289.112	1022	77	3	4.28	0
287.15	289.112	1022	82	3.13	4.33	0
288.15	290.47	1023	82	1	6.08	0
291.15	293.97	1023	63	1	5.78	0
292.15	293.97	1023	59	2	5.32	0
294.15	296.015	1021	40	2	5.21	0
294.15	295.8	1020	40	2	5.56	0
293.15	295.8	1020	49	1	5.76	0
290.6	293.5	1022	52	1	5.22	0
288.115	292.115	1022	67	4.17	5.22	0
288.115	292.115	1022	77	1	5.71	0
286.15	290.1	1022	82	1	5.79	0
285.15	288.5	1021	87	2	5.37	0
285.15	288.5	1022	87	2	5.47	0
289.15	290.166	1023	77	2	6.96	0
292.15	294.781	1023	63	2	5.71	0
293.901	295.15	1022	49	3	4.95	0
296.2	297.8	1020	41	5	5.08	0
295.6	297.3	1018	38	5	5.32	0
295.6	297.3	1018	40	4	5.34	0
290.798	293.598	1018	52	3	5.03	0
288.992	292.292	1019	59	2	5.24	0
288.15	292.292	1019	72	2	5.76	0
287.15	290.754	1018	82	2	5.89	0
285.15	289.308	1017	87	1	5.75	0
285.15	289.308	1017	93	2	5.97	0
291.15	291.93	1018	63	3	7.35	0
294.15	296.78	1018	49	5	6.61	0
296.07	297.15	1018	44	5	5.78	0
298	299.2	1015	47	4	5.64	0
297.242	298.542	1015	47	5	5.94	0
297.15	298.542	1015	50	3	5.73	0
293.022	295.522	1016	64	3	5.39	0
292.079	293.979	1017	72	2	5.29	0
291.15	293.979	1017	77	1	5.78	0
289.15	292.634	1016	87	1	5.88	0
288.15	291.239	1016	87	2	5.44	0
287.15	291.239	1016	87	1	5.55	0
293.271	294.15	1017	60	4	6.84	0
297.15	298.755	1017	53	4	5.82	0
298.245	299.15	1017	44	5	4.78	0
300.15	301.26	1015	47	6	4.24	0
299.886	301.186	1014	42	6	4.43	0
299.15	301.186	1014	50	4	4.16	0
293.814	297.114	1015	68	1	4.40	0
292.3	295	1018	68	2	4.79	0
292.15	295	1018	72	3.19	4.87	0
291.151	293.201	1016	77	2	5.04	0
289.15	292.127	1016	82	2	5.05	0
290.15	292.127	1016	77	1	5.31	0
294.607	296.15	1017	53	1	6.55	0
298.15	300.855	1018	47	2	5.80	0
299.15	300.855	1018	47	4	4.83	0
299.15	302.1	1018	47	6	4.63	0
298.15	301.039	1019	47	4	5.02	0
295.15	301.039	1019	43	5	4.44	0
292.15	294.102	1020	52	3	4.18	0
290.15	292.366	1022	55	4	4.14	0
288.15	292.366	1022	67	2	4.58	0
287.15	290.824	1021	67	2	4.81	0
286.15	289.436	1021	66	2	4.73	0
285.15	289.436	1021	71	2	5.04	0
290.15	291.685	1022	48	2	6.60	0
293.15	296.704	1021	45	2	5.56	0
295.555	296.704	1021	43	2	4.62	0
297.15	300.361	1018	44	2	4.44	0
298.645	300.345	1016	34	2	5.04	0
298.15	300.345	1015	33	2	4.83	0
293.288	296.15	1015	43	4	4.16	0
291.8	294.7	1015	49	3	4.13	0
